word,translation,category,subcategory,difficulty,wordType,definition,definitionZh,exampleSentence,exampleSentenceZh,tags,tagsZh
"AIDS","艾滋病","various","","beginner","noun","A word meaning: 艾滋病","艾滋病","","","noun","名词"
"aim","目的；目标 计划，打算；瞄准；针对","various","","beginner","adjective","A word meaning: 目的","目的","","","adjective","形容词"
"air","空气；大气","house","","beginner","noun","A word meaning: 空气","空气","","","noun","名词"
"aircraft","飞机(单复数同)","nature","","intermediate","noun","A word meaning: 飞机(单复数同)","飞机(单复数同)","","","noun","名词"
"airline","航空公司；航空系统","nature","","intermediate","noun","A word meaning: 航空公司","航空公司","","","noun","名词"
"airmail","航空邮件","nature","","intermediate","noun","A word meaning: 航空邮件","航空邮件","","","noun","名词"
"airplane","<美>飞机","transportation","air-travel","intermediate","noun","A word meaning: <美>飞机","<美>飞机","","","noun","名词"
"airport","航空站，飞机场","transportation","","intermediate","noun","A word meaning: 航空站","航空站","","","noun","名词"
"airspace","领空，（某国的）空域","nature","","intermediate","adjective","A word meaning: 领空","领空","","","adjective","形容词"
"alarm","警报 向...告急，向...报警，警戒","body","","beginner","noun","A word meaning: 警报 向...告急","警报 向...告急","","","noun","名词"
"album","相册，影集，集邮簿","various","","beginner","noun","A word meaning: 相册","相册","","","noun","名词"
"alcohol","含酒精饮料，酒","various","","intermediate","noun","A word meaning: 含酒精饮料","含酒精饮料","","","noun","名词"
"alcoholic","酒精的，含酒精的;酒精中毒的 酗酒者，酒鬼;酒精中毒者","various","","advanced","adjective","A word meaning: 酒精的","酒精的","","","adjective","形容词"
"algebra","代数学，代数","various","","intermediate","noun","A word meaning: 代数学","代数学","","","noun","名词"
"alike","很相似地，同样地","actions-verbs","","beginner","adverb","A word meaning: 很相似地","很相似地","","","adverb","副词"
"alive","活着的，存在的","various","","beginner","adjective","A word meaning: 活着的","活着的","","","adjective","形容词"
"all","全部地 全（部）;所有的;总;整 全部","nature","","beginner","adjective;adverb","A word meaning: 全部地 全（部）","全部地 全（部）","","","adjective;adverb","形容词;副词"
"allergic","过敏的，厌恶","various","","intermediate","adjective","A word meaning: 过敏的","过敏的","","","adjective","形容词"
"alley","小径;胡同，小巷;球道","nature","","beginner","noun","A word meaning: 小径","小径","","","noun","名词"
"allocate","分配，分派;把...拨给","animals","mammals","intermediate","verb","A word meaning: 分配","分配","","","verb","动词"
"allow","允许，准许","various","","beginner","noun","A word meaning: 允许","允许","","","noun","名词"
"allowance","限额;折扣;津贴，补贴，零用钱;默许，默认","various","","advanced","noun","A word meaning: 限额","限额","","","noun","名词"
"almost","几乎，差不多","various","","intermediate","noun","A word meaning: 几乎","几乎","","","noun","名词"
"alone","单独的，孤独的","numbers","","beginner","adjective","A word meaning: 单独的","单独的","","","adjective","形容词"
"along","向前；和...一起；一同 沿着；顺着","various","","beginner","noun","A word meaning: 向前","向前","","","noun","名词"
"alongside","在...旁边","various","","advanced","noun","A word meaning: 在...旁边","在...旁边","","","noun","名词"
"aloud","大声地","various","","beginner","adverb","A word meaning: 大声地","大声地","","","adverb","副词"
"alphabet","字母表，字母","various","","intermediate","noun","A word meaning: 字母表","字母表","","","noun","名词"
"already","已经","education","","intermediate","noun","A word meaning: 已经","已经","","","noun","名词"
"also","也","various","","beginner","noun","A word meaning: 也","也","","","noun","名词"
"alternative","可供替代","various","","advanced","adjective","A word meaning: 可供替代","可供替代","","","adjective","形容词"
"although","虽然，尽管","various","","intermediate","noun","A word meaning: 虽然","虽然","","","noun","名词"
"altitude","海拔高度","various","","intermediate","noun","A word meaning: 海拔高度","海拔高度","","","noun","名词"
"altogether","总共","various","","advanced","noun","A word meaning: 总共","总共","","","noun","名词"
"aluminium(Am aluminum)","<美>铝","various","","advanced","noun","A word meaning: <美>铝","<美>铝","","","noun","名词"
"always","总是；一直；永远","various","","intermediate","noun","A word meaning: 总是","总是","","","noun","名词"
"am","v(be)","animals","","beginner","noun","A word meaning: v(be)","v(be)","","","noun","名词"
"a.m.&am","A.M.&AM","various","","beginner","noun","A word meaning: A.M.&AM","A.M.&AM","","","noun","名词"
"amateur","业余爱好的","various","","intermediate","adjective","A word meaning: 业余爱好的","业余爱好的","","","adjective","形容词"
"amaze","惊奇，惊叹；震惊","various","","beginner","noun","A word meaning: 惊奇","惊奇","","","noun","名词"
"amazing","惊奇","various","","intermediate","noun","A word meaning: 惊奇","惊奇","","","noun","名词"
"ambassador","大使，使节;（派驻联合国等国际组织的）代表;特使;[比喻]使者","various","","advanced","noun;adjective","A word meaning: 大使","大使","","","noun;adjective","名词;形容词"
"ambassadress","大使夫人;女大使","clothing","womens-clothing","advanced","noun","A word meaning: 大使夫人","大使夫人","","","noun","名词"
"ambiguous","模棱两可的","various","","advanced","adjective","A word meaning: 模棱两可的","模棱两可的","","","adjective","形容词"
"ambition","目标","various","","intermediate","noun","A word meaning: 目标","目标","","","noun","名词"
"ambulance","救护车","various","","advanced","noun","A word meaning: 救护车","救护车","","","noun","名词"
"America","美国；美洲","various","","intermediate","noun","A word meaning: 美国","美国","","","noun","名词"
"among","在...中间；在（三个以上）之间","various","","beginner","noun","A word meaning: 在...中间","在...中间","","","noun","名词"
"amount","金额，数量，总计","various","","intermediate","noun","A word meaning: 金额","金额","","","noun","名词"
"ample","足够的;充足的，丰富的;宽敞的，广大的;富裕的","various","","beginner","adjective","A word meaning: 足够的","足够的","","","adjective","形容词"
"amuse","（使人）快乐，逗乐","various","","beginner","noun","A word meaning: （使人）快乐","（使人）快乐","","","noun","名词"
"amusement","娱乐","various","","advanced","noun","A word meaning: 娱乐","娱乐","","","noun","名词"
"analyse","分析;分解;细察;"analyze"的变体","various","","intermediate","adjective","A word meaning: 分析","分析","","","adjective","形容词"
"analysis","分析，分解;梗概，要略;[数]解析;验定复数：analyses","various","","intermediate","noun","A word meaning: 分析","分析","","","noun","名词"
"ancestor","祖宗；祖先","various","","intermediate","noun","A word meaning: 祖宗","祖宗","","","noun","名词"
"anchor","v & n","various","","intermediate","noun","A word meaning: v & n","v & n","","","noun","名词"
"ancient","古代的，古老的","various","","intermediate","adjective","A word meaning: 古代的","古代的","","","adjective","形容词"
"and","和；又；而","family","","beginner","noun","A word meaning: 和","和","","","noun","名词"
"anecdote","逸事，趣闻","various","","intermediate","noun","A word meaning: 逸事","逸事","","","noun","名词"
"anger","怒，愤怒","various","","beginner","noun","A word meaning: 怒","怒","","","noun","名词"
"angle","角度","various","","beginner","noun","A word meaning: 角度","角度","","","noun","名词"
"angry","生气的，愤怒的","various","","beginner","adjective","A word meaning: 生气的","生气的","","","adjective","形容词"
"animal","动物","animals","","intermediate","adjective","A word meaning: 动物","动物","","","adjective","形容词"
"ankle","踝，踝关节","body","","beginner","noun","A word meaning: 踝","踝","","","noun","名词"
"anniversary","周年纪念日","various","","advanced","noun","A word meaning: 周年纪念日","周年纪念日","","","noun","名词"
"announce","宣布，宣告","various","","intermediate","noun","A word meaning: 宣布","宣布","","","noun","名词"
"annoy","（使）烦恼","various","","beginner","noun","A word meaning: （使）烦恼","（使）烦恼","","","noun","名词"
"annual","每年的，年度的，一年一次的","various","","intermediate","adjective","A word meaning: 每年的","每年的","","","adjective","形容词"
"another","再一；另一；别的；不同的 另一个","various","","intermediate","noun;adjective","A word meaning: 再一","再一","","","noun;adjective","名词;形容词"
"answer","回答","various","","intermediate","noun","A word meaning: 回答","回答","","","noun","名词"
"ant","蚂蚁","animals","insects","beginner","noun","A word meaning: 蚂蚁","蚂蚁","","","noun","名词"
"Antarctic","南极的","animals","insects","advanced","adjective","A word meaning: 南极的","南极的","","","adjective","形容词"
"antique","古玩，古董;古风，古希腊和古罗马艺术风格;","animals","insects","intermediate","noun","A word meaning: 古玩","古玩","","","noun","名词"
"anxiety","担忧，焦虑","various","","intermediate","noun","A word meaning: 担忧","担忧","","","noun","名词"
"anxious","忧虑的，焦急的","various","","intermediate","adjective","A word meaning: 忧虑的","忧虑的","","","adjective","形容词"
"any","无论哪一个；任何的 〔用于疑问句、否定句、条件子句中，或用于肯定句但与含有疑问、否定意义的词连用〕什么，一些，一点","geography","","beginner","adjective","A word meaning: 无论哪一个","无论哪一个","","","adjective","形容词"
"anybody","任何人，无论谁","body","","intermediate","noun","A word meaning: 任何人","任何人","","","noun","名词"
"anyhow","不管怎样","various","","intermediate","noun","A word meaning: 不管怎样","不管怎样","","","noun","名词"
"anyone","任何人，无论谁","numbers","","intermediate","noun","A word meaning: 任何人","任何人","","","noun","名词"
"anything","什么事（物）；任何事（物）","various","","intermediate","noun","A word meaning: 什么事（物）","什么事（物）","","","noun","名词"
"anyway","不管怎样","various","","intermediate","noun","A word meaning: 不管怎样","不管怎样","","","noun","名词"
"anywhere","任何地方","various","","intermediate","adverb","A word meaning: 任何地方","任何地方","","","adverb","副词"
"apart","相隔，相距，除外","education","subjects","beginner","noun","A word meaning: 相隔","相隔","","","noun","名词"
"apartment","（美）楼中单元房，一套房间；房间","education","subjects","advanced","noun","A word meaning: （美）楼中单元房","（美）楼中单元房","","","noun","名词"
"apologize","道歉，谢罪","various","","advanced","verb","A word meaning: 道歉","道歉","","","verb","动词"
"apology","道歉；歉意","various","","intermediate","noun","A word meaning: 道歉","道歉","","","noun","名词"
"apparent","显而易见","family","","intermediate","noun","A word meaning: 显而易见","显而易见","","","noun","名词"
"appeal","呼吁；上诉，申诉，吸引力","various","","intermediate","adjective","A word meaning: 呼吁","呼吁","","","adjective","形容词"
"appear","出现","food","fruits","intermediate","noun","A word meaning: 出现","出现","","","noun","名词"
"appearance","出现，露面；容貌","food","fruits","advanced","noun","A word meaning: 出现","出现","","","noun","名词"
"appendix","附录;阑尾;附加物","house","","intermediate","noun","A word meaning: 附录","附录","","","noun","名词"
"appetite","食欲，胃口","animals","","intermediate","noun","A word meaning: 食欲","食欲","","","noun","名词"
"applaud","鼓掌","various","","intermediate","noun","A word meaning: 鼓掌","鼓掌","","","noun","名词"
"apple","苹果","food","fruits","beginner","noun","A word meaning: 苹果","苹果","","","noun","名词"
"applicant","申请人","animals","insects","advanced","noun","A word meaning: 申请人","申请人","","","noun","名词"
"application","申请","animals","mammals","advanced","noun","A word meaning: 申请","申请","","","noun","名词"
"apply","申请","various","","beginner","adverb","A word meaning: 申请","申请","","","adverb","副词"
"appoint","任命，委任，安排，确定（时间，地点）","various","","intermediate","adverb","A word meaning: 任命","任命","","","adverb","副词"
"appointment","约会","various","","advanced","noun","A word meaning: 约会","约会","","","noun","名词"
"appreciate","欣赏；感激","various","","advanced","verb","A word meaning: 欣赏","欣赏","","","verb","动词"
"appreciation","欣赏","various","","advanced","noun","A word meaning: 欣赏","欣赏","","","noun","名词"
"approach","靠近，接近，建议，要求","various","","intermediate","noun","A word meaning: 靠近","靠近","","","noun","名词"
"appropriate","合适的，恰当的","various","","advanced","verb;adjective","A word meaning: 合适的","合适的","","","verb;adjective","动词;形容词"
"approval","同意，批准","various","","intermediate","adjective","A word meaning: 同意","同意","","","adjective","形容词"
"approve","赞成","various","","intermediate","noun","A word meaning: 赞成","赞成","","","noun","名词"
"approximately","近似地，大约;许","various","","advanced","adverb","A word meaning: 近似地","近似地","","","adverb","副词"
"apron","围裙;[航]停机坪;[机]（防护）挡板;舞台口;","various","","beginner","noun","A word meaning: 围裙","围裙","","","noun","名词"
"arbitrary","随心所欲的，独裁的，专断的","various","","advanced","adjective","A word meaning: 随心所欲的","随心所欲的","","","adjective","形容词"
"arch","拱门;弓形;拱形物;足弓，齿弓;","time","","beginner","noun","A word meaning: 拱门","拱门","","","noun","名词"
"architect","建筑师，设计师","various","","advanced","noun","A word meaning: 建筑师","建筑师","","","noun","名词"
"architecture","建筑学，建筑设计，风格","various","","advanced","noun","A word meaning: 建筑学","建筑学","","","noun","名词"
"Arctic","北极的","various","","intermediate","adjective","A word meaning: 北极的","北极的","","","adjective","形容词"
"are","v(be)","family","","beginner","noun","A word meaning: v(be)","v(be)","","","noun","名词"
"area","面积；地域，地方，区域；范围，领域","various","","beginner","adverb","A word meaning: 面积","面积","","","adverb","副词"
"argue","争辩，争论","various","","beginner","noun","A word meaning: 争辩","争辩","","","noun","名词"
"argument","争论，辩论","various","","intermediate","noun","A word meaning: 争论","争论","","","noun","名词"
"arise(arose","arisen)","nature","plants","advanced","noun","A word meaning: arisen)","arisen)","","","noun","名词"
"arithmetic","算法;算术，计算","various","","advanced","adjective","A word meaning: 算法","算法","","","adjective","形容词"
"arm","臂","body","","beginner","noun","A word meaning: 臂","臂","","","noun","名词"
"armchair","扶手椅","body","","intermediate","noun","A word meaning: 扶手椅","扶手椅","","","noun","名词"
"army","军队","body","","beginner","noun","A word meaning: 军队","军队","","","noun","名词"
"around","在周围；在附近 在......周围；大约","various","","intermediate","noun","A word meaning: 在周围","在周围","","","noun","名词"
"arrange","安排，布置","various","","intermediate","noun","A word meaning: 安排","安排","","","noun","名词"
"arrangement","安排，布置","various","","advanced","noun","A word meaning: 安排","安排","","","noun","名词"
"arrest","逮捕，拘留","various","","intermediate","noun","A word meaning: 逮捕","逮捕","","","noun","名词"
"arrival","到来，到达","various","","intermediate","adjective","A word meaning: 到来","到来","","","adjective","形容词"
"arrive","到达；达到","various","","intermediate","adjective","A word meaning: 到达","到达","","","adjective","形容词"
"arrow","箭；箭头","various","","beginner","noun","A word meaning: 箭","箭","","","noun","名词"
"art","艺术，美术；技艺","body","","beginner","noun","A word meaning: 艺术","艺术","","","noun","名词"
"article","文章;东西","education","subjects","intermediate","noun","A word meaning: 文章","文章","","","noun","名词"
"artificial","人工的，人造的","education","subjects","advanced","adjective","A word meaning: 人工的","人工的","","","adjective","形容词"
"artist","艺术家","education","subjects","intermediate","noun","A word meaning: 艺术家","艺术家","","","noun","名词"
"as","像...一样；如同；因为 作为","food","","beginner","noun","A word meaning: 像...一样","像...一样","","","noun","名词"
"ash","灰；灰末","various","","beginner","noun","A word meaning: 灰","灰","","","noun","名词"
"ashamed","惭愧；害臊","food","meat","intermediate","noun","A word meaning: 惭愧","惭愧","","","noun","名词"
"Asia","亚洲","various","","beginner","noun","A word meaning: 亚洲","亚洲","","","noun","名词"
"Asian","亚洲（人）的 亚洲人","various","","beginner","adjective","A word meaning: 亚洲（人）的 亚洲人","亚洲（人）的 亚洲人","","","adjective","形容词"
"aside","在旁边","various","","beginner","noun","A word meaning: 在旁边","在旁边","","","noun","名词"
"ask","问；请求，要求；邀请","various","","beginner","noun","A word meaning: 问","问","","","noun","名词"
"asleep","睡着的，熟睡","actions-verbs","","intermediate","adjective","A word meaning: 睡着的","睡着的","","","adjective","形容词"
"aspect","方面，外观，外表","various","","intermediate","noun","A word meaning: 方面","方面","","","noun","名词"
"assess","评价","various","","intermediate","noun","A word meaning: 评价","评价","","","noun","名词"
"assessment","评估;评价;（应偿付金额的）估定;（为征税对财产所作的）估价","various","","advanced","noun;adjective","A word meaning: 评估","评估","","","noun;adjective","名词;形容词"
"assist","帮助，协助","various","","intermediate","noun","A word meaning: 帮助","帮助","","","noun","名词"
"assistance","帮助，援助，支持","various","","advanced","noun","A word meaning: 帮助","帮助","","","noun","名词"
"assistant","助手，助理","animals","insects","advanced","noun","A word meaning: 助手","助手","","","noun","名词"
"associate","联想，联系","various","","advanced","verb","A word meaning: 联想","联想","","","verb","动词"
"association","协会，社团，联系","various","","advanced","noun","A word meaning: 协会","协会","","","noun","名词"
"assume","假定，假设","various","","intermediate","noun","A word meaning: 假定","假定","","","noun","名词"
"assumption","承担;假定，假设;想当然;采取","various","","advanced","noun","A word meaning: 承担","承担","","","noun","名词"
"astonish","使惊讶","various","","intermediate","noun","A word meaning: 使惊讶","使惊讶","","","noun","名词"
"astronaut","宇航员","various","","advanced","noun","A word meaning: 宇航员","宇航员","","","noun","名词"
"astronomer","天文学者，天文学家","various","","advanced","noun","A word meaning: 天文学者","天文学者","","","noun","名词"
"astronomy","天文学","various","","advanced","noun","A word meaning: 天文学","天文学","","","noun","名词"
"at","在（几点钟）;在（某处）","food","","beginner","noun","A word meaning: 在（几点钟）","在（几点钟）","","","noun","名词"
"athlete","运动员","various","","intermediate","noun","A word meaning: 运动员","运动员","","","noun","名词"
"athletic","健壮的","various","","intermediate","adjective","A word meaning: 健壮的","健壮的","","","adjective","形容词"
"Atlantic","大西洋的","animals","insects","intermediate","adjective","A word meaning: 大西洋的","大西洋的","","","adjective","形容词"
"atmosphere","大气；气氛","various","","advanced","noun","A word meaning: 大气","大气","","","noun","名词"
"atom","原子，微粒","various","","beginner","noun","A word meaning: 原子","原子","","","noun","名词"
"attach","把...固定，重视","various","","intermediate","noun","A word meaning: 把...固定","把...固定","","","noun","名词"
"attack","攻击，袭击","various","","intermediate","noun","A word meaning: 攻击","攻击","","","noun","名词"
