Word,Chinese Translation
Asian,亚洲（人）的 亚洲人
aside,在旁边
ask,问；请求，要求；邀请
asleep,睡着的，熟睡
aspect,方面，外观，外表
assess,评价,评定（性质,质量）
assessment,评估;评价;（应偿付金额的）估定;（为征税对财产所作的）估价
assist,帮助，协助
assistance,帮助，援助，支持
assistant,助手，助理
associate,联想，联系
association,协会，社团，联系
assume,假定，假设
assumption,承担;假定，假设;想当然;采取
astonish,使惊讶
astronaut,宇航员
astronomer,天文学者，天文学家
astronomy,天文学
at,在（几点钟）;在（某处）
athlete,运动员
athletic,健壮的,体育运动的
Atlantic,大西洋的
atmosphere,大气；气氛
atom,原子，微粒
attach,把...固定，重视
attack,攻击，袭击
attain,达到，获得;遂愿;经过努力到达某事物; 获得;到达;达到，实现; 达到;获得;到达
attempt,试图，尝试 企图，努力
attend,看护，照料，服侍；出席，参加
attention,注意，关心
attitude,态度，看法
attract,吸引，引起
attraction,吸引，爱慕
attractive,迷人的，有吸引力的
audience,观众，听众
aunt,伯母；舅母；婶；姑；姨
authentic,真正的，真品的
author,作者，作家
authority,权力,权威,威信,官方
automatic,自动的，机械的
autonomous,自治的;有自主权的;[生，植]自发的
autumn,秋天，秋季
available,可获得的，有空的
avenue,大道
average,平均；普通的 平均数
avoid,避免，躲开，逃避
awake(awoke, awoken),唤醒 醒着的
award,奖品，奖励
aware,知道，意识到，发觉
away,离开；远离
awesome,令人惊叹,很困难的
awful,很坏的，极讨厌的
awkward,令人尴尬,使人难堪的
baby,婴儿
bachelor,未婚男子，单身汉
back,回（原处）；向后 后面的 后部；背
background,背景
backward(s),向后
bacon,培根;腊肉;熏猪肉;咸猪肉
bacterium(pl bacteria),细菌
bad(worse, worst),坏的；有害的，不利的；严重的
badminton,羽毛球
bag,书包；提包；袋子
baggage,行李
bakery,面包房，面包店;烘烤食品;（面包、糕点等的总称）
balance,平衡
balcony,阳台；楼座
ball,球 舞会
ballet,芭蕾舞
balloon,气球
bamboo,竹
ban,禁令 禁止；取缔
banana,香蕉
band,乐队
bandage,绷带
bank,（河海湖的）岸，堤 银行
bar,条（长方）块，棒，横木 买酒柜台；酒吧
barbecue,烤肉野餐
barber,（为男人理发）理发师
barbershop,<尤美>理发店;理发店四重唱
bare,裸露的，光秃秃的
bargain,成交的商品；廉价货 讨价还价
bark,狗叫 狗叫声
barrier,屏障，障碍，关卡
base,根据地，基地（棒球）垒
baseball,棒球
basement,地下室
basic,基本的
basin,水盆，脸盆
basis,原因，缘由，要素
basket,篮子
basketball,篮球
bat,（棒球、板球的）球棒 蝙蝠
bath,洗澡；浴室；澡盆
bathe,洗澡；游泳
bathroom,浴室，盥洗室
bathtub,浴缸，澡盆
battery,电池
battle,战斗；战役
bay,湾；海湾
BC,公元前
be(am, is, are, was, were, being, been),是（原形）,其人称和时态形式有；成为
beach,海滨，海滩
bean curd,豆腐
bean,豆，豆科植物
bear ^1^,熊
bear ^2^,承受，负担，承担；忍受；容忍
beard,（下巴上的）胡须
beast,野兽；牲畜
beat(beat, beaten),敲打；跳动；打赢 （音乐）节拍
beautiful,美，美丽，美观的
beauty,美丽，美人
because,因为
become(became, become),变得；成为
bed,床
beddings,卧具,铺盖,被褥,（家畜）草垫,（建筑）基床
bedroom,寝室，卧室
bee,蜜蜂
beef,牛肉
beer,啤酒
before,在...以前；在...前面 以前
beg,请求，乞求，乞讨
begin(began, begun),开始,着手
behalf,代表某人，为了某人
behave,守规矩，行为
behaviour(Am behavior),行为，举止
behind,(表示位置)在...后面 在后面；向后
being,物；生物；人
belief,信条，信念
believe,相信，认为
bell,钟,铃;钟(铃)声;钟形物
belly,肚子，腹部;（物体的）圆形或凸起部份;胃口，食欲;腹部...形的;
belong,属，附属
below,在......下面
belt,（皮）带
bench,长凳；工作台
bend(bent, bent),使弯曲
beneath,在...下方（面）
beneficial,有利的，有帮助的，有用的
benefit,优势,益处,使...受益
bent,弯的
beside,在...旁边；靠近
besides,除...以外（还有） 还有，此外
betray,背叛;出卖;泄露;对...不忠
between,在（两者）之间；在...中间
beyond,(表示位置)在...的那边
bid,出价，投标，向（某人）道别
big,大的
bike=bicycle,自行车
bill,账单；法案，议案；（美）钞票，纸币
bingo,宾果游戏;太好了，好极了
biochemistry,生物化学
biography,传记
biology,生物（学）
bird,鸟
birth,出生；诞生
birthday,生日
birthplace,出生地；故乡
biscuit,饼干
bishop,（基督教某些教派管辖大教区的）主教;（国际象棋的）象;香甜葡萄酒
bit,一点，一些，少量的
bite(bit, bitten),咬；叮
bitter,有苦味的；痛苦的，难过的；严酷的
black,黑色 黑色的
blackboard,黑板
blame,责备；责怪
blank,空格，空白（处）；空的；茫然无表情的
blanket,毛毯，毯子
bleed,出血，流血
bless,保佑，降福
blind,瞎的
block,大块；木块；街区；路障 阻塞；阻挡
blood,血，血液
blouse,宽罩衫；（妇女、儿童穿的）短上衣
blow(blew, blown),吹；刮风；吹气
blue,蓝色 蓝色的 悲伤的；沮丧的
board,木板；布告牌；政府的部 上（船、飞机）
boat,小船，小舟
body,身体
boil,沸腾；烧开；煮......
bomb,炸弹 轰炸
bond,债券;纽带;联系;保释金 使结合;建立互信关系;与...紧密联系;与...黏合
bone,骨头，骨质（复数bones骨骼；骨骸）
bonus,津贴，奖金，红利
book,书；本子 预定，定（房间、车票等）
boom,繁荣，轰鸣，激增
boot,长统靴；靴
booth,岗；（为某种用途而设的）亭或小隔间
border,边缘；边境，国界
bored,（对人，事）厌倦的，烦闷的
boring,乏味的，无聊的
born,出生
borrow,（向别人）借用；借
boss,领班；老板
botanical,植物学的
botany,植物；植物学
both,两；双 两者；双方
bother,打扰，麻烦 麻烦
bottle,瓶子
bottom,底部；底
bounce,弹起，蹦，上下晃动
bound,被束缚的；被绑的；有义务的 跳跃
boundary,边界，界限
bow,鞠躬，弯腰行礼
bowl,碗
bowling,保龄球运动;滚木球戏 打保龄球;(bowl的现在分词
box,盒子，箱子
boxing,拳击;装箱;做箱（或盒）的材料;箱形的罩;（或框）
boy,男孩
brain,脑（子）
brake,闸 刹车
branch,树枝；分枝；分公司，分店；支部
brand,品牌
brave,勇敢的
bravery,勇气
bread,面包
break(broke, broken),打破（断，碎）；损坏，撕开 间隙
breakfast,早餐
breakthrough,重大进展，突破
breast,乳房，胸脯
breath,气息；呼吸
breathe,呼吸
breathless,气喘吁吁的，上气不接下气的
brewery,酿酒厂，啤酒厂
brick,砖；砖块
bride,新娘
bridegroom,新郎
bridge,桥
brief,简洁的
bright,明亮的；聪明的
brilliant,巧妙的，使人印象深刻的，技艺高的
bring(brought, brought),拿来，带来，取来
broad,宽的，宽大的
broadcast(broadcast, broadcast或-ed, -ed),广播 广播节目
brochure,资料（或广告）手册
broken,弄坏了的
broom,扫帚
brother,兄；弟
brown,褐色，棕色 褐色的，棕色的
brunch,早午饭（晚早饭）
brush,刷；擦 刷子
Buddhism,佛教
budget,预算
buffet,自助餐
build(built, built),建筑；造
building,建筑物；房屋；大楼
bunch,串,束,扎,大量,大批
bungalow,<英>平房;<美>单层小屋，多于一层的小屋
burden,（义务，责任的）重担，负担
bureaucratic,官僚的，官僚主义的，官僚作风的
burglar,入室窃贼
burn(burnt, burnt或-ed, -ed),燃，烧，着火；使烧焦；使晒黑 烧伤晒伤
burst,突然发生；突然发作
bury,埋；葬
bus,公共汽车
bush,灌木丛，矮树丛
business,工作，职业；职责；生意，交易；事业
businessman&woman(pl businessmen&women),商人（男&女）；男&女企业家
busy,忙（碌）的
but,但是，可是 除了,除......外
butcher,肉店；屠夫 屠宰（动物）；残杀（人）
butter,黄油，奶油
butterfly,蝴蝶
button,纽扣；（电铃等的）按钮 扣（纽扣）
buy(bought, bought),买
by,在...旁边;表示方式;由于;经过
bye,再见，回头见;
cab,（美）出租车
cabbage,卷心菜，洋白菜
cafe,咖啡馆，小餐厅
cafeteria,自助餐厅
cage,笼；鸟笼
cake,蛋糕，糕点；饼
calculate,计算，核算，推测
call,喊，叫；电话，通话 称呼；呼唤；喊，叫
calm,镇静,沉着的 镇静沉着
camel,骆驼
camera,照相机；摄像机
camp,（夏令）营 野营,宿营
campaign,运动，战役
can ^1^(could); aux.,可以;能;能够;可能
can ^2^,罐头;（用金属或塑料制作的）容器;（马口铁或其他金属制作的）食品罐头
can't=cannot,modal v
canal,运河；水道
cancel,取消
cancer,癌
candidate,候选人，申请人
candle,蜡烛
candy,糖果
canteen,餐厅；食堂
cap,帽子；（瓶子的）盖；（钢笔等的）笔套
capital,首都.省会.大写；资本
capsule,（药）胶囊
captain,（海军）上校；船长，舰长；队长
caption,（图片，漫画等的）说明文字
car,汽车，小卧车
carbon,碳
card,卡片；名片；纸牌
care,照料，保护；小心 介意......，在乎；关心
careful,小心，仔细，谨慎的
careless,粗心的，漫不经心的
carpenter,木工，木匠;
carpet,地毯
carriage,四轮马车;（火车）客车厢
carrier,搬运者；媒介;（自行车等的）置物架；货架
carrot,胡萝卜
carry,拿，搬，带，提，抬，背，抱，运等
cartoon,动画片，卡通；漫画
carve,刻；雕刻
case,情况；病例；案件；真相 箱；盒；容器
cash,现金，现钞 兑现
cassette,盒式录音带;摄影胶卷暗匣，弹夹;珠宝箱，宝匣
cast(cast, cast),扔，抛，撒
castle,城堡
casual,漫不经心的，不经意的，非正式的
cat,猫
catalogue,目录，一览表;（美）大学情况便览;展览目录;产品样本;
catastrophe,大灾难;惨败;悲剧的结局;地表突然而猛烈的变动，灾变
catch(caught, caught),接住；捉住；赶上；染上（疾病）
category,类别，种类
cater,提供饮食，承办酒席
Catholic,天主教的
cattle,牛（总称），家畜
cause,原因，起因 促使，引起，使发生
caution,谨慎，小心，警告
cautious,小心的，谨慎的
cave,洞，穴；地窖
CD=compact disk,光盘
ceiling,天花板，顶棚
celebrate,庆祝
celebration,庆祝；庆祝会
cell,（监狱的）单人牢房；小蜂窝，蜂房；细胞
cent,美分（100cents=1dollar）
centigrade,摄氏的
centimetre(Am centimeter),公分，厘米
central,中心，中央；主要的
centre(Am center),中心，中央
century,世纪，百年
ceremony,典礼，仪式，礼节
certain,确定的，无疑的；一定会...
certificate,证明，证明书
chain,链；链条
chair,椅子
chairman&woman(pl chairmen&women),主席&女主席，会长&女会长；议长&女议长
chalk,粉笔
challenge,挑战(性)
challenging,具有挑战性的
champion,冠军，优胜者
chance,机会，可能性
change,零钱；找头 改变，变化；更换；兑换
changeable,易变的，变化无常的
channel,频道；通道；水渠
chant,反复呼喊
chaos,混乱，杂乱，紊乱
chapter,章
character,（汉）字.字体；品格
characteristic,典型的，独特的
charge,收费；索价；将(电池)充电 费用；价钱
chart,图表；航海图
chat,聊天，闲谈
cheap,便宜的，贱
cheat,骗取，哄骗；作弊
check,检查；批改 校对，核对；检查；批改
cheek,面颊，脸蛋
cheer,欢呼；喝彩
cheerful,兴高采烈的，快活的
cheers,干杯，(口)谢谢，再见
cheese,奶酪
chef,厨师长，主厨
chemical,化学的 化学品
chemist,药剂师；化学家
chemistry,化学
cheque(Am check),支票
chess,棋
chest,箱子；盒子；胸部
chew,咀嚼
chicken,鸡；鸡肉
chief,主要,首要的 领导，头
child(pl children),孩子，儿童
childhood,幼年时代，童年
chocolate,巧克力
choice,选择；抉择
choir,教堂的唱诗班;唱诗队;公开表演的合唱团;（教堂）唱经楼
choke,窒息
choose(chose, chosen),选择
chopsticks,筷子;筷子;(chopstick的名词复数)
chorus,合唱;合唱队;（歌曲的）副歌;合唱歌（曲）
Christian,基督教徒和天主教徒的总称
Christmas,圣诞节（12月25日）
church,教堂；教会
cigar,雪茄烟
cigarette,纸烟，香烟
cinema,电影院；电影
circle,圆圈 将...圈起来
circuit,环形路线，巡回赛
circulate,（使）循环;（使）流通;（使）流传;散布; 传送，传递，传阅
circumstance,条件,环境,状况
circus,马戏团
citizen,公民；居民
city,市，城市，都市
civil,国内的；平民（非军人）的；民用的
civilian,平民，老百姓
civilization,文明
clap,拍手；鼓掌
clarify,澄清，阐明
class,（学校的）班；年级；课
classic,一流的，典型的，有代表性的
classify,分类，归类
classmate,同班同学
classroom,教室
claw,（动物的）爪;（蟹等的）钳;爪形器具;
clay,黏土，泥土;（相对于灵魂而言的）人体，肉体;似黏土的东西;克莱;（男子名，Clayton的昵称）
clean,弄干净，擦干净 清洁的，干净的
cleaner,清洁工.,清洁器.,清洁剂
clear,清晰；明亮的；清楚的
clerk,书记员；办事员；职员
clever,聪明的，伶俐的
click,点击（计算机用语）
climate,气候
climb,爬，攀登
clinic,诊所
clock,钟
clone,克隆（无性繁殖出来的有机体群）
close,亲密的；近，靠近 靠近 关，关闭
cloth,布
clothes,衣服；各种衣物
clothing,(总称)衣服
cloud,云；云状物；阴影
cloudy,多云的，阴天的
club,俱乐部；纸牌中的梅花
clumsy,笨拙的，不灵巧的
coach,教练；马车；长途车
coal,煤；煤块
coast,海岸；海滨
coat,外套；涂层；表皮；皮毛 给......穿外套
cocoa,可可饮料;可可，可可粉;深褐色
coffee,咖啡
coin,硬币
coincidence,巧合，巧事
coke,可口可乐
cold,冷的，寒的 寒冷；感冒，伤风
collar,衣领；硬领
colleague,同事
collect,收集，搜集
collection,收藏品，收集物
college,学院；专科学校
collision,碰撞;冲突;（意见，看法）的抵触;（政党等的）倾轧
colour(Am color),颜色 给...着色，涂色
comb,梳子 梳
combine,使联合；使结合
come(came, come),来，来到
comedy,喜剧
comfort,安慰；慰问
comfortable,舒服的；安逸的；舒服自在的
command,命令
comment,评论
commercial,贸易的，商业的
commit,犯（罪，错），自杀
commitment,承诺,允诺,承担
committee,委员会
common,普通，一般；共有的
communicate,交际；传达（感情，信息等）
communication,交际,交往;通讯
communism,共产主义
communist,共产主义者 共产党的；共产主义的
companion,同伴；同事
company,公司
compare,比较，对照
compass,罗盘，指南针
compensate,抵消;补偿，赔偿;报酬; 补偿，弥补
compete,比赛，竞赛
competence,能力,胜任,管辖权
competition,比赛，竞赛
complete,完成 完成，结束
complex,复杂的，建筑群
component,组成部分，部件
composition,作文；作曲
comprehension,理解
compromise,妥协,折中,让步
compulsory,强制的,必须做的
computer,电子计算机
concentrate,聚精会神
concept,概念
concern,涉及，关心
concert,音乐会；演奏会
conclude,完成，结束
conclusion,结论；结束
concrete,混凝土制的
condemn,（通常因道义上的原因而）谴责;宣判;宣布...不能使用;迫使...陷于不幸的境地
condition,条件，状况
conduct,引导，带领
conductor,管理人；指导者；售票员，列车员；指挥
conference,(正式的)会议；讨论
confident,自信的
confidential,机密的，保密的
confirm,证实，证明，确认
conflict,冲突，争执，争论
confuse,使迷惑，混淆
congratulate,祝贺
congratulation,祝贺，庆贺
connect,连接，把...联系起来
connection,连接物;接触,联系
conscience,良心，良知，内疚
consensus,一致;舆论;一致同意，合意
consequence,结果，后果
conservation,保存；（自然资源的）保护，管理
conservative,保守的，守旧的；谨慎的 保守的人
consider,考虑
considerate,体贴的
consideration,考虑；关心
consist,包含，组成，构成
consistent,一致的，始终如一的，连续的
constant,经常的，不断的
constitution,宪法，章程，身体素质
construct,构筑；建造，建设
construction,建造,建设,建筑物
consult,咨询，商量
consultant,顾问
consume,消耗，耗费（燃料，能量，时间等）
contain,包含；包括；能容纳
container,容器;箱，匣;集装箱，货柜
contemporary,属同时期的，同一时代的
content ^1^,内容
content ^2^,甘愿的,满意的
continent,大陆，大洲；陆地
continue,继续
contradict,反驳，驳斥，批驳
contradictory,相互矛盾,对立的
contrary,相反 相反的
contribute,贡献
contribution,贡献
control,控制
controversial,引起争论的,有争议的
convenience,便利
convenient,便利的，方便的
conventional,依照惯例的，习惯的
conversation,谈话，交谈
convey,表达，传递（思想，感情等）
convince,使确信，使信服
cook,炊事员,厨师 烹调,做饭
cooker,炊具(锅、炉灶、烤炉等)
cookie,饼干;小甜点;吸引人的年轻妇女;甜面包
cool,凉的，凉爽的；酷
copy,抄本，副本 抄写；复印；备份
corn,玉米，谷物
corner,角；角落；拐角
corporation,（大）公司
correct,改正；纠正 正确的，对的；恰当的
correction,改正
correspond,一致；与......相当；通信，有书信往来
corrupt,堕落的，道德败坏的;贪污的，腐败的;腐烂的;（文献等）错误百出的 使腐败;使堕落;使腐烂 腐化;堕落;腐烂
cost,价钱，代价;花费，费用;牺牲;[用复数][法律]诉讼费 价钱为，花费;估计成本 付出代价;估价;使丧失;使付出努力
cosy(Am cozy),舒适的，惬意的;畅快的;亲切友好的;
cottage,(郊外)小屋,村舍,别墅
cotton,棉花 棉花的
cough,咳嗽
could,（can的过去式）可以...；可以...，行
count,数，点数
counter,柜台，结账处
country,国家；农村，乡下
countryside,乡下，农村
couple,夫妇，一对
courage,勇气；胆略
course,过程；经过；课程
court,法庭；法院
courtyard,天井;庭院，院子
cousin,堂（表）兄弟，堂（表）姐妹
cover,盖子；罩 覆盖，遮盖；掩盖
cow,母牛，奶牛
crash,碰撞，撞击
crayon,彩色蜡笔或粉笔;
crazy,疯狂的
cream,奶油，乳脂
create,创造；造成
creature,生物，动物
credit,信用；信赖；信誉
crew,全体船员
crime,（法律上的）罪，犯罪
criminal,罪犯
criterion(pl criteria),标准，准则，原则
crop,庄稼；收成
cross,脾气不好的，易怒的 十字 越过；穿过
crossing,十字路口，人行横道
crossroads,交叉路口
crowd,人群 拥挤，群聚
cruel,残忍的，残酷的；无情的
cry,叫喊；哭声 喊叫；哭
cube,立方体
cubic,立方体的，立方形的
cuisine,饭菜，佳肴
culture,文化
cup,茶杯
cupboard,碗柜；橱柜
cure,治疗；医好
curious,好奇的；奇异的
currency,货币；现金
curriculum,全部课程，课程
curtain,窗帘
cushion,垫子
custom,习惯，习俗，风俗习惯
customer,（商店）顾客，主顾
customs,海关，关税
cut(cut, cut),切，剪，削，割,伤口
cycle,骑自行车
cyclist,骑自行车的人
dad=daddy,（口）爸爸，爹爹
daily,每日的；日常的 每天 日报
dam,水坝，堰堤
damage,毁坏，损害
damp,潮湿（的）
dance,跳舞
danger,危险
dangerous,危险的
dare,dare aux,v（后接不带to的不定式；主要用于疑问，否定或条件句）敢，敢于
dark,黑暗；暗处；日暮 黑暗的；暗淡的；深色的
darkness,黑暗，阴暗
dash,快跑，冲刺，短跑
data,资料，数据
database,数据库
date,日期；约会 约会
daughter,女儿
dawn,黎明，拂晓
day,（一）天，（一）日；白天
dead,死的；无生命的
deadline,最后期限，截止日期
deaf,聋的
deal(dealt, dealt),量，数额；交易
dear,亲爱的；贵的
death,死
debate,讨论，辩论
debt,债务；欠款
decade,十年
decide,决定；下决心
decision,决定；决心
declare,声明；断言
decline,减少，下降，衰退，谢绝
decorate,装饰......，修饰......
decoration,装饰，修饰
decrease,减少，减小，降低
deed,行为；事迹
deep,深 深的；深厚的
deer,鹿
defeat,击败；战胜
defence(Am defense),防御；防务
defend,防守；保卫
degree,程度；度数；学位
delay,拖延，延误，延迟，延期；耽搁
delete,删去
deliberately,故意地
delicate,易损的，易碎的，脆弱的
delicious,美味的，可口的
delight,快乐；乐事
delighted,高兴的，快乐的
deliver,投递（信件，邮包等）
demand,要求
dentist,牙科医生
department,部门；（机关的）司，处；（大学的）系
departure,离开，启程
depend,依靠，依赖，指望；取决于
deposit,放下，放置，存放
depth,深，深度
describe,描写，叙述
description,描述，描写
desert,沙漠 舍弃；遗弃
deserve,应受，应得，值得
design,设计，策划 图案，图样，样式
desire,要求；期望
desk,书桌，写字台
desperate,（因绝望而）不惜冒险的，不顾一切的，拼命的
dessert,甜点
destination,目的地，终点
destroy,破坏，毁坏
detective,侦探
determination,决心
determine,决定；决心
develop,（使）发展；（使）发达；（使）发育；开发 冲洗（照片）
development,发展，发达，发育，开发
devote,把...奉献；把...专用（于）
devotion,奉献，奉献精神
diagram,图表，图样
dial,拨（电话号码）
dialogue(Am dialog),对话
diamond,钻石，金刚石；纸牌中的方块
diary,日记；日记簿
dictation,听写
dictionary,词典，字典
die,死
diet,饮食
differ,相异，有区别
difference,不同
different,不同的，有差异的
difficult,难的；艰难的；不易相处的
difficulty,困难，费力
dig(dug, dug),挖（洞沟）；掘
digest,消化；领会
digital,数字的，数码的
dignity,尊严，庄严
dilemma,（进退两难的）窘境，困境
dimension,尺寸，面积，维度
dinner,正餐，宴会
dinosaur,恐龙
dioxide,二氧化物
dip,浸，蘸
diploma,毕业文凭；学位证书
direct,直接的；直达的；直截了当的 指挥；指导；监督；管理；指挥（演奏）；导演（电影）
direction,方向；方位
director,所长，处长，主任；董事；导演
directory,姓名地址录，（电话）号码簿
dirty,脏的
disability,残疾；无能
disabled,残废的，残疾的
disadvantage,不利条件；弱点
disagree,意见不一致，持不同意见
disagreement,意见不一致；相违；争论
disappear,消失
disappoint,使失望
disappointed,失望的
disaster,灾难；祸患
discount,折扣
discourage,（使）气馁；打消（做...的念头）
discover,发现
discovery,发现
discrimination,歧视
discuss,讨论，议论
discussion,讨论，辩论
disease,病，疾病
